Player,Curr4,Curr5,Curr_Score,Pre4,Pre5,Prev_Score,Inc_Score
DarkLord Dan,1877,36,1985.0,1837,35,1942.0,43.0
SlackOfDoom,1028,130,1418.0,1012,121,1375.0,43.0
OnePieceOfAl,307,0,307.0,265,0,265.0,42.0
Kaison Baby,667,325,1642.0,667,311,1600.0,42.0
ArT,468,689,2535.0,468,675,2493.0,42.0
ODYSSEAS,1813,92,2089.0,1777,90,2047.0,42.0
Argeade 88,480,9,507.0,438,9,465.0,42.0
Harold,1583,819,4040.0,1545,818,3999.0,41.0
Avalonati,1203,86,1461.0,1162,86,1420.0,41.0
Theah,419,0,419.0,378,0,378.0,41.0
volo,1544,40,1664.0,1504,40,1624.0,40.0
Ebano,384,1,387.0,344,1,347.0,40.0
Dark Asha,681,694,2763.0,680,681,2723.0,40.0
ElenaDrogon,100,0,100.0,60,0,60.0,40.0
Fat Bear,299,0,299.0,259,0,259.0,40.0
Loekas20,1632,168,2136.0,1608,163,2097.0,39.0
NotTodayMate,1060,123,1429.0,1045,115,1390.0,39.0
BRUTALES,205,376,1333.0,205,363,1294.0,39.0
ImPIOus,832,0,832.0,793,0,793.0,39.0
FireStorM,527,16,575.0,488,16,536.0,39.0
ROMEOKTON,1674,2,1680.0,1635,2,1641.0,39.0
eThea,1940,111,2273.0,1928,102,2234.0,39.0
Kiku,304,7,325.0,265,7,286.0,39.0
fearless,94,0,94.0,56,0,56.0,38.0
HasturX,939,336,1947.0,934,325,1909.0,38.0
DucdeNalfar,293,0,293.0,255,0,255.0,38.0
NHL,517,1,520.0,479,1,482.0,38.0
Blackrainbow,808,478,2242.0,807,466,2205.0,37.0
parthXD,710,9,737.0,673,9,700.0,37.0
Blackpromise,2062,0,2062.0,2027,0,2027.0,35.0
NEBuULA,1088,125,1463.0,1053,125,1428.0,35.0
asparuhdo,757,68,961.0,728,66,926.0,35.0
Angelov ST,2224,72,2440.0,2189,72,2405.0,35.0
ANAXIMANDROS,940,258,1714.0,920,253,1679.0,35.0
Fenryrr,2267,0,2267.0,2233,0,2233.0,34.0
Black wulf,99,0,99.0,65,0,65.0,34.0
SirBillyS,426,266,1224.0,426,255,1191.0,33.0
Lohki,181,164,673.0,181,153,640.0,33.0
ShakGaR,815,34,917.0,782,34,884.0,33.0
cerveau lent,2782,10,2812.0,2751,10,2781.0,31.0
Mr Wrinkles,978,150,1428.0,947,150,1397.0,31.0
Kim sSeok,50,0,50.0,21,0,21.0,29.0
The Rohirrim,949,322,1915.0,949,314,1891.0,24.0
macgg,271,491,1744.0,271,483,1720.0,24.0
Evily Angel,836,3,845.0,812,3,821.0,24.0
Ramsden,1019,19,1076.0,997,19,1054.0,22.0
Misteria,460,8,484.0,440,8,464.0,20.0
Orlaith,1126,31,1219.0,1106,31,1199.0,20.0
RaisingD,1141,10,1171.0,1123,10,1153.0,18.0
BaelTheBard,978,5,993.0,960,5,975.0,18.0
Lord Maxims,45,0,45.0,30,0,30.0,15.0
MACACS,1182,30,1272.0,1167,30,1257.0,15.0
Stiele,44,0,44.0,30,0,30.0,14.0
BGBORED,660,1,663.0,646,1,649.0,14.0
Munchies,599,43,728.0,592,43,721.0,7.0
Total,,,143427.00,,,139124.00,4303.00
